,age,personality1,personality2,personality3,personality4,personality5,personality6,personality7,personality9,personality10,game_categorical,gender_female,gender_male,region_A,region_B,region_C,region_D,region_E,horoscope_Aquarius,horoscope_Aries,horoscope_Cancer,horoscope_Capricorn,horoscope_Gemini,horoscope_Leo,horoscope_Libra,horoscope_Pisces,horoscope_Sagittarius,horoscope_Scorpio,horoscope_Taurus,horoscope_Virgo
38,20,1.3227,1.3896,0.0,1.129,0.0761,1.4983,0.9285,1.6353,1.1724,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39,35,1.3624,1.198,2.3947,1.5441,0.0,0.9364,0.9047,0.6645,1.4214,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
40,37,1.5775,0.8199,0.6524,0.9262,0.0,0.737,0.6605,0.667,1.0599,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,33,1.4856,0.9483,1.3796,0.7135,0.3143,0.9103,0.4355,0.986,0.9386,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
42,28,0.7222,1.7367,1.1431,1.3627,0.9076,0.9007,0.1385,1.2944,0.7334,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,21,0.4117,1.0985,0.1402,1.4273,0.1913,0.9632,0.3405,0.6849,1.2764,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,37,1.1692,1.0778,1.5004,1.2884,1.1674,0.7782,0.4235,0.808,0.9434,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,16,0.725,0.9448,1.1439,2.0227,0.3402,0.5337,0.9082,1.4331,0.5408,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,13,1.5908,0.3274,1.5677,1.1436,0.2535,2.015,0.9603,1.0087,1.0406,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,32,1.9566,0.6778,1.8431,1.1154,0.6346,0.921,0.2988,1.4649,2.014,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,11,1.3448,1.5428,1.1245,1.1299,0.0,1.281,0.2747,2.1826,1.1389,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
49,35,0.0,1.106,0.8215,0.432,0.8368,0.2782,0.286,0.4446,1.105,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50,14,0.9716,0.8257,0.9156,1.606,0.2474,1.0152,0.8956,0.7847,1.3285,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,27,0.0,1.2071,1.3081,0.5519,0.9651,0.9035,0.1039,1.5652,1.389,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,32,0.7524,1.084,1.0715,1.9188,0.6745,1.2269,0.6228,0.1736,0.7584,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,32,0.7215,0.5813,1.0576,0.334,0.5303,0.6946,0.8418,0.6268,0.777,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,20,0.4328,0.8039,1.4452,2.3537,0.2963,1.1629,0.6302,0.8141,1.0299,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55,22,1.4684,0.9902,1.4518,2.0296,0.6475,1.021,0.2271,1.5914,1.1778,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,17,0.923,1.3333,0.9512,0.6548,0.2866,1.3122,0.5234,1.2855,1.4798,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,27,0.2645,0.4215,1.1029,0.8491,0.0,1.191,0.6369,0.9091,0.8637,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
58,12,1.2228,1.1566,1.3297,2.109,0.2604,1.4642,0.0305,1.2588,1.2179,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,15,0.0,0.9474,0.8446,1.1422,0.0914,1.1594,0.743,1.3715,1.5373,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,36,0.6221,1.0809,1.1456,1.6232,0.9171,0.9838,0.401,1.4502,0.8203,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,15,0.877,0.8423,0.3375,1.9965,0.4077,1.7999,0.4147,0.9948,0.6122,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
62,27,0.5205,1.4145,1.3606,1.4436,0.272,0.6015,0.6194,0.5949,0.753,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
63,38,0.7774,1.4741,1.2079,2.1673,0.8235,0.6899,0.3502,1.3407,0.6734,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,21,1.5038,1.0569,1.235,1.644,0.3997,1.1764,0.9839,0.541,0.5385,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
65,38,0.6732,0.8288,1.1855,1.0228,0.829,1.0766,0.3171,1.1567,0.3976,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
66,24,0.9916,0.7001,0.9688,1.9305,0.4305,1.3591,0.0456,1.4265,0.4915,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
67,36,1.1276,0.9873,0.3471,1.7337,1.3239,1.7531,0.345,0.4985,1.1723,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,24,0.5879,1.1508,0.2134,1.3121,0.1922,0.9587,0.465,1.2099,0.6466,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
69,11,1.454,0.7433,0.7919,0.5605,0.1649,1.3637,0.3187,1.337,1.0008,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
70,24,0.5357,0.455,0.6603,1.7897,0.6574,1.438,0.7798,1.2663,1.1696,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,28,1.3493,0.7786,1.2147,0.7338,1.0159,1.2585,0.2864,1.0158,1.3636,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72,13,1.7005,1.1678,0.9536,2.3413,0.0797,1.4524,0.9182,0.4656,0.6886,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
73,18,1.105,1.031,1.1513,2.395,0.0,0.8905,0.8881,1.0569,0.7835,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,13,0.8305,0.9698,1.287,1.1676,0.3251,1.1634,0.1581,0.6073,0.5062,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
75,15,1.4748,0.9865,0.9405,1.2922,0.4936,0.5537,0.1885,1.3595,1.1215,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,29,0.9058,1.1641,0.635,1.3675,0.7899,0.9098,0.5219,0.6806,0.7607,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,23,2.1682,0.9376,0.3887,2.0423,0.2635,1.2054,0.7037,0.8341,1.6648,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
78,11,1.0699,0.5517,1.5781,1.2196,0.3029,0.2868,0.863,0.8755,1.1669,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,34,1.2062,1.0393,0.692,1.5911,1.0823,0.871,0.6822,1.1075,1.0676,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
80,37,1.2223,0.9823,0.8018,1.1052,0.6129,0.3292,0.0906,1.6309,1.1424,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,11,1.7834,0.5806,0.7068,1.706,0.0936,0.9894,0.3692,1.0725,1.2991,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
82,14,1.3489,1.7705,1.5014,2.3058,0.2069,1.4379,0.5149,1.338,1.251,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,35,0.9224,1.5675,1.0373,0.4979,0.6003,0.9791,0.6884,1.5014,1.1068,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,28,1.1529,1.213,1.0402,1.0717,0.471,1.1919,0.4617,1.065,0.7995,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
85,17,1.0098,0.8859,0.2681,1.1917,0.3358,1.0024,0.3078,1.3912,1.0772,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,16,1.1969,1.2674,1.1247,2.2625,0.3273,1.0531,0.3474,0.8826,1.6941,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
87,26,1.1237,1.4932,1.7812,1.4688,0.2844,1.1877,0.1954,0.5874,1.3216,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
88,32,0.3871,0.6375,0.3367,0.7621,0.6166,1.143,0.4097,0.8632,0.7461,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
89,31,1.313,1.1011,0.4644,1.9958,0.5592,1.7293,0.34,0.7639,2.1641,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,30,1.3312,1.4127,0.4659,1.2652,1.2148,1.0981,0.1581,0.1507,0.9281,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
91,31,1.0212,1.089,1.0981,2.1113,0.1962,0.8584,0.9548,0.8976,0.5782,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,12,0.7384,1.0133,0.9776,1.9948,0.2293,0.3235,0.9885,1.0,1.0779,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
93,12,0.5766,1.2287,0.492,2.709,0.2678,1.0799,0.6648,1.113,1.3434,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,10,0.4529,0.9845,1.1767,0.5786,0.0639,1.3055,0.2251,1.3834,0.9245,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,39,0.5804,1.4064,1.2499,2.4057,0.8307,1.5396,0.6328,0.5411,1.0709,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
96,10,0.7358,0.5547,1.2048,1.7107,0.3101,1.2479,0.1645,0.9217,0.6249,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
97,34,1.3045,1.1579,1.6037,2.7396,0.609,0.4824,0.5527,1.3163,1.2469,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
98,19,0.6886,1.1343,1.009,1.2546,0.5963,1.1482,0.712,1.044,1.0809,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
99,11,1.4885,1.2743,0.8345,2.6403,0.3028,0.8132,0.696,1.0835,1.1315,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100,21,0.6164,0.7742,1.2224,0.3687,0.0805,1.1314,0.524,0.6582,0.8193,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
101,19,0.6728,1.0734,1.4115,1.0381,0.2475,1.4057,0.8338,1.0934,1.3632,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,10,0.9287,1.5911,0.9252,1.4104,0.0,0.7715,0.4273,1.4657,1.0341,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
103,39,1.4567,0.9652,0.7363,1.8492,0.9664,0.9733,0.4769,1.2058,1.0591,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
104,38,1.6882,1.085,1.2532,1.0532,1.3556,0.7195,0.0511,1.0972,0.7757,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
105,31,1.5706,1.2412,0.3638,1.8915,0.2254,1.6103,0.0311,1.1191,0.7633,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
106,18,1.0987,0.9868,1.3513,2.0508,0.3415,1.0538,0.6127,1.2358,0.9622,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
107,30,0.6746,0.8412,0.86,0.0888,0.7071,1.3851,0.0428,0.6903,0.9693,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,31,0.9005,0.562,1.1231,1.7696,0.5377,0.6613,0.8159,0.6577,1.2446,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,35,0.625,1.1308,1.4641,2.17,0.3636,0.7914,0.5832,0.4024,1.1164,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,15,1.2698,1.1294,0.3836,1.6119,0.3426,0.9092,0.5825,0.4783,1.0851,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,18,1.3735,1.2401,0.8092,1.4524,0.632,1.0504,0.3699,0.9319,1.5513,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
112,21,0.9084,0.5823,0.84,1.8735,0.1553,0.7033,0.2102,1.2643,1.2478,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
113,20,0.6237,0.9174,1.3393,2.2427,0.3735,1.2863,0.9228,0.6888,1.0671,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,25,0.2502,0.8294,1.4302,1.9014,0.1931,1.2182,0.736,1.6397,0.99,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
115,28,0.1908,1.5414,1.5292,0.5795,0.3591,1.2944,0.449,0.999,0.6266,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
116,29,0.0037,0.458,1.0538,0.5762,0.8604,0.5326,0.4477,0.5535,1.1059,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,30,0.6227,1.1093,1.2655,1.8483,1.0392,0.565,0.5413,0.6702,1.4919,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
118,25,0.8224,0.7017,1.0026,0.8891,0.6093,1.2199,0.1158,0.9651,1.0887,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,19,1.9101,1.1636,0.645,0.6294,0.6592,0.9492,0.2808,1.2333,0.7417,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
120,17,0.5668,1.4822,1.0801,0.6416,0.2653,0.919,0.2768,1.0604,1.2589,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
121,14,1.4513,0.9162,0.5649,0.8582,0.3113,0.9839,0.8637,1.3567,0.6377,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
122,27,1.382,0.6441,1.302,0.8437,1.015,1.0015,0.5721,1.6704,0.4463,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,19,0.5763,1.1102,0.4286,1.9169,0.4111,0.7842,0.1817,1.4665,0.9882,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
124,34,1.0313,0.9405,0.7381,0.3679,0.3035,0.9211,0.5993,1.1659,1.5041,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,18,1.5447,1.3136,0.9843,2.1167,0.171,0.5823,0.2396,1.2477,0.2494,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
126,38,1.3237,0.6476,0.7509,1.3279,0.7141,0.7364,0.6547,1.3151,0.9688,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
127,35,0.7579,1.0275,1.7258,1.7854,1.1333,1.1866,0.6497,0.865,0.6546,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,24,1.4129,0.9516,1.5351,1.2721,0.1397,1.0276,0.5924,0.7991,1.1879,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
129,29,1.228,0.9277,1.0357,1.3794,0.6548,1.0721,0.4706,0.8123,1.0765,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
130,36,1.0427,0.9164,0.4013,1.4469,1.0237,0.6557,0.9542,1.3061,0.0985,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131,27,1.8869,1.6946,1.446,2.4419,0.7539,1.422,0.5733,1.0994,1.5665,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
132,32,1.6367,0.9528,0.9375,1.0693,0.6891,1.0494,0.6211,1.1571,0.9231,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
133,30,0.9705,1.0445,1.1521,1.0038,0.5366,1.0301,0.6897,0.52,1.1325,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134,34,1.2169,1.4081,0.383,2.1553,0.4753,0.7976,0.9866,1.1642,0.8808,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
135,26,0.9538,0.9291,0.9948,1.0297,0.7047,0.5769,0.1832,1.4563,0.7934,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,33,1.844,1.654,1.0619,2.1742,0.6832,1.1958,0.5452,1.1768,0.8582,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
137,16,1.0188,0.718,1.4719,1.8536,0.5568,1.3704,0.5265,0.9965,1.0508,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,36,1.9909,1.1293,0.5294,0.3741,0.4993,1.4185,0.4875,0.4947,0.8565,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
139,31,1.014,1.6898,1.5684,1.888,0.9174,0.2485,0.5437,0.051,1.1949,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
140,12,0.0,1.2048,0.6179,0.9564,0.133,0.8452,0.76,0.3451,1.0225,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
141,36,0.1907,1.468,0.512,0.9544,0.4091,0.9885,0.328,0.9083,1.2937,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
142,27,0.6683,0.5466,1.004,1.9144,0.7564,0.893,0.8002,1.1002,1.388,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
143,17,1.3621,1.865,0.7782,2.085,0.1913,1.1261,0.8325,0.5524,1.2096,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
144,34,1.122,1.2736,1.5318,1.0001,0.6295,1.2952,0.8776,0.7884,1.0205,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,21,1.1148,0.7741,0.7486,1.0301,0.5249,2.0056,0.7357,1.2233,0.5154,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
146,27,0.7422,1.2947,0.8133,1.7765,0.4215,1.023,0.2002,0.5011,0.4307,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,28,2.0608,1.8545,0.3172,1.3128,0.2768,1.2983,0.1161,1.1335,1.6496,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
148,24,1.3117,0.7258,0.9421,1.4263,0.9265,1.2471,0.2232,1.1357,0.3902,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,25,0.9167,0.4904,1.3101,1.4554,0.2003,1.3978,0.0523,0.6257,1.3591,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
150,12,1.4506,1.2862,1.0574,0.8468,0.5056,1.1882,0.7167,1.2619,1.4716,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
151,12,1.4927,0.9765,0.4833,1.5719,0.3434,1.1914,0.7909,1.0115,0.631,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,20,1.0217,1.216,0.8956,1.8625,0.4933,0.2716,0.0692,0.7762,1.4187,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
153,36,0.6722,0.9757,0.7549,2.1233,1.7227,1.3486,0.1794,1.3786,0.4087,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
