age,gender,region,horoscope,personality1,personality2,personality3,personality4,personality5,personality6,personality7,personality8,game,personality9,personality10
35,female,D,Aries,1.3624,1.198,2.3947,1.5441,0.0,0.9364,0.9047,0.0,The Lost Vikings,0.6645,1.4214
37,female,B,Sagittarius,1.5775,0.8199,0.6524,0.9262,0.0,0.737,0.6605,0.0,The Lost Vikings,0.667,1.0599
33,female,D,Aries,1.4856,0.9483,1.3796,0.7135,0.3143,0.9103,0.4355,0.0,The Lost Vikings,0.986,0.9386
28,female,B,Virgo,0.7222,1.7367,1.1431,1.3627,0.9076,0.9007,0.1385,0.0,Starcraft,1.2944,0.7334
21,female,A,Cancer,0.4117,1.0985,0.1402,1.4273,0.1913,0.9632,0.3405,0.0,Overwatch,0.6849,1.2764
37,female,A,Gemini,1.1692,1.0778,1.5004,1.2884,1.1674,0.7782,0.4235,0.0,The Lost Vikings,0.808,0.9434
16,male,B,Gemini,0.725,0.9448,1.1439,2.0227,0.3402,0.5337,0.9082,0.0,Diablo,1.4331,0.5408
13,female,A,Virgo,1.5908,0.3274,1.5677,1.1436,0.2535,2.015,0.9603,0.0,Hearthstone,1.0087,1.0406
32,male,A,Scorpio,1.9566,0.6778,1.8431,1.1154,0.6346,0.921,0.2988,0.0,The Lost Vikings,1.4649,2.014
11,female,D,Aquarius,1.3448,1.5428,1.1245,1.1299,0.0,1.281,0.2747,0.0,Starcraft,2.1826,1.1389
35,female,D,Sagittarius,0.0,1.106,0.8215,0.432,0.8368,0.2782,0.286,0.0,The Lost Vikings,0.4446,1.105
14,male,A,Capricorn,0.9716,0.8257,0.9156,1.606,0.2474,1.0152,0.8956,0.0,Diablo,0.7847,1.3285
27,female,D,Virgo,0.0,1.2071,1.3081,0.5519,0.9651,0.9035,0.1039,0.0,Overwatch,1.5652,1.389
32,male,A,Scorpio,0.7524,1.084,1.0715,1.9188,0.6745,1.2269,0.6228,0.0151,The Lost Vikings,0.1736,0.7584
32,female,C,Taurus,0.7215,0.5813,1.0576,0.334,0.5303,0.6946,0.8418,0.0,The Lost Vikings,0.6268,0.777
20,male,D,Virgo,0.4328,0.8039,1.4452,2.3537,0.2963,1.1629,0.6302,0.0,Overwatch,0.8141,1.0299
22,male,D,Virgo,1.4684,0.9902,1.4518,2.0296,0.6475,1.021,0.2271,0.0,Diablo,1.5914,1.1778
17,female,C,Libra,0.923,1.3333,0.9512,0.6548,0.2866,1.3122,0.5234,0.0,Starcraft,1.2855,1.4798
27,female,E,Gemini,0.2645,0.4215,1.1029,0.8491,0.0,1.191,0.6369,0.0,Overwatch,0.9091,0.8637
12,male,A,Gemini,1.2228,1.1566,1.3297,2.109,0.2604,1.4642,0.0305,0.0,Diablo,1.2588,1.2179
15,female,B,Cancer,0.0,0.9474,0.8446,1.1422,0.0914,1.1594,0.743,0.0,Overwatch,1.3715,1.5373
36,male,B,Scorpio,0.6221,1.0809,1.1456,1.6232,0.9171,0.9838,0.401,0.0,The Lost Vikings,1.4502,0.8203
15,male,D,Libra,0.877,0.8423,0.3375,1.9965,0.4077,1.7999,0.4147,0.0,Hearthstone,0.9948,0.6122
27,female,D,Sagittarius,0.5205,1.4145,1.3606,1.4436,0.272,0.6015,0.6194,0.0,Starcraft,0.5949,0.753
38,male,E,Aquarius,0.7774,1.4741,1.2079,2.1673,0.8235,0.6899,0.3502,0.0,Diablo,1.3407,0.6734
21,female,D,Libra,1.5038,1.0569,1.235,1.644,0.3997,1.1764,0.9839,0.0,Hearthstone,0.541,0.5385
38,male,E,Capricorn,0.6732,0.8288,1.1855,1.0228,0.829,1.0766,0.3171,0.0,Diablo,1.1567,0.3976
24,female,D,Sagittarius,0.9916,0.7001,0.9688,1.9305,0.4305,1.3591,0.0456,0.0,Warcraft,1.4265,0.4915
36,male,A,Sagittarius,1.1276,0.9873,0.3471,1.7337,1.3239,1.7531,0.345,0.0,Warcraft,0.4985,1.1723
24,female,D,Leo,0.5879,1.1508,0.2134,1.3121,0.1922,0.9587,0.465,0.0,Starcraft,1.2099,0.6466
11,female,E,Cancer,1.454,0.7433,0.7919,0.5605,0.1649,1.3637,0.3187,0.0,Overwatch,1.337,1.0008
24,female,B,Cancer,0.5357,0.455,0.6603,1.7897,0.6574,1.438,0.7798,0.0,Overwatch,1.2663,1.1696
28,female,E,Aquarius,1.3493,0.7786,1.2147,0.7338,1.0159,1.2585,0.2864,0.0,Overwatch,1.0158,1.3636
13,male,D,Pisces,1.7005,1.1678,0.9536,2.3413,0.0797,1.4524,0.9182,0.0,Diablo,0.4656,0.6886
18,male,A,Scorpio,1.105,1.031,1.1513,2.395,0.0,0.8905,0.8881,0.0,Diablo,1.0569,0.7835
13,male,E,Cancer,0.8305,0.9698,1.287,1.1676,0.3251,1.1634,0.1581,0.0,Diablo,0.6073,0.5062
15,male,C,Virgo,1.4748,0.9865,0.9405,1.2922,0.4936,0.5537,0.1885,0.0,Diablo,1.3595,1.1215
29,female,B,Pisces,0.9058,1.1641,0.635,1.3675,0.7899,0.9098,0.5219,0.0,Overwatch,0.6806,0.7607
23,male,D,Leo,2.1682,0.9376,0.3887,2.0423,0.2635,1.2054,0.7037,0.0,Diablo,0.8341,1.6648
11,female,A,Scorpio,1.0699,0.5517,1.5781,1.2196,0.3029,0.2868,0.863,0.0,Overwatch,0.8755,1.1669
34,male,D,Sagittarius,1.2062,1.0393,0.692,1.5911,1.0823,0.871,0.6822,0.0,The Lost Vikings,1.1075,1.0676
37,male,C,Libra,1.2223,0.9823,0.8018,1.1052,0.6129,0.3292,0.0906,0.0,The Lost Vikings,1.6309,1.1424
11,male,E,Aries,1.7834,0.5806,0.7068,1.706,0.0936,0.9894,0.3692,0.0,Diablo,1.0725,1.2991
14,male,B,Aries,1.3489,1.7705,1.5014,2.3058,0.2069,1.4379,0.5149,0.0,Diablo,1.338,1.251
35,female,C,Virgo,0.9224,1.5675,1.0373,0.4979,0.6003,0.9791,0.6884,0.0,The Lost Vikings,1.5014,1.1068
28,female,D,Taurus,1.1529,1.213,1.0402,1.0717,0.471,1.1919,0.4617,0.0,Starcraft,1.065,0.7995
17,male,C,Scorpio,1.0098,0.8859,0.2681,1.1917,0.3358,1.0024,0.3078,0.0,Diablo,1.3912,1.0772
16,male,D,Sagittarius,1.1969,1.2674,1.1247,2.2625,0.3273,1.0531,0.3474,0.0,Diablo,0.8826,1.6941
26,female,E,Gemini,1.1237,1.4932,1.7812,1.4688,0.2844,1.1877,0.1954,0.0,Starcraft,0.5874,1.3216
32,female,C,Sagittarius,0.3871,0.6375,0.3367,0.7621,0.6166,1.143,0.4097,0.0,The Lost Vikings,0.8632,0.7461
31,male,A,Capricorn,1.313,1.1011,0.4644,1.9958,0.5592,1.7293,0.34,0.0,Diablo,0.7639,2.1641
30,male,D,Leo,1.3312,1.4127,0.4659,1.2652,1.2148,1.0981,0.1581,0.0,Diablo,0.1507,0.9281
31,male,B,Sagittarius,1.0212,1.089,1.0981,2.1113,0.1962,0.8584,0.9548,0.0,Diablo,0.8976,0.5782
12,male,D,Sagittarius,0.7384,1.0133,0.9776,1.9948,0.2293,0.3235,0.9885,0.0,Overwatch,1.0,1.0779
12,male,B,Libra,0.5766,1.2287,0.492,2.709,0.2678,1.0799,0.6648,0.0,Overwatch,1.113,1.3434
10,female,C,Aries,0.4529,0.9845,1.1767,0.5786,0.0639,1.3055,0.2251,0.0,Overwatch,1.3834,0.9245
39,male,D,Leo,0.5804,1.4064,1.2499,2.4057,0.8307,1.5396,0.6328,0.0,The Lost Vikings,0.5411,1.0709
10,female,D,Libra,0.7358,0.5547,1.2048,1.7107,0.3101,1.2479,0.1645,0.0,Overwatch,0.9217,0.6249
34,male,E,Leo,1.3045,1.1579,1.6037,2.7396,0.609,0.4824,0.5527,0.0,The Lost Vikings,1.3163,1.2469
19,male,E,Scorpio,0.6886,1.1343,1.009,1.2546,0.5963,1.1482,0.712,0.0,Diablo,1.044,1.0809
11,male,E,Aries,1.4885,1.2743,0.8345,2.6403,0.3028,0.8132,0.696,0.0,Diablo,1.0835,1.1315
21,female,C,Capricorn,0.6164,0.7742,1.2224,0.3687,0.0805,1.1314,0.524,0.0,Overwatch,0.6582,0.8193
19,female,C,Aquarius,0.6728,1.0734,1.4115,1.0381,0.2475,1.4057,0.8338,0.0,Overwatch,1.0934,1.3632
10,female,D,Cancer,0.9287,1.5911,0.9252,1.4104,0.0,0.7715,0.4273,0.0,Starcraft,1.4657,1.0341
39,male,D,Virgo,1.4567,0.9652,0.7363,1.8492,0.9664,0.9733,0.4769,0.0,The Lost Vikings,1.2058,1.0591
38,female,E,Leo,1.6882,1.085,1.2532,1.0532,1.3556,0.7195,0.0511,0.0,The Lost Vikings,1.0972,0.7757
31,male,D,Cancer,1.5706,1.2412,0.3638,1.8915,0.2254,1.6103,0.0311,0.0,Diablo,1.1191,0.7633
18,male,D,Pisces,1.0987,0.9868,1.3513,2.0508,0.3415,1.0538,0.6127,0.0,Diablo,1.2358,0.9622
30,female,A,Aries,0.6746,0.8412,0.86,0.0888,0.7071,1.3851,0.0428,0.0,Hearthstone,0.6903,0.9693
31,male,A,Sagittarius,0.9005,0.562,1.1231,1.7696,0.5377,0.6613,0.8159,0.0,The Lost Vikings,0.6577,1.2446
35,male,A,Leo,0.625,1.1308,1.4641,2.17,0.3636,0.7914,0.5832,0.0,The Lost Vikings,0.4024,1.1164
15,female,C,Scorpio,1.2698,1.1294,0.3836,1.6119,0.3426,0.9092,0.5825,0.0,Warcraft,0.4783,1.0851
18,male,D,Scorpio,1.3735,1.2401,0.8092,1.4524,0.632,1.0504,0.3699,0.0,Diablo,0.9319,1.5513
21,female,E,Sagittarius,0.9084,0.5823,0.84,1.8735,0.1553,0.7033,0.2102,0.0,Overwatch,1.2643,1.2478
20,male,A,Scorpio,0.6237,0.9174,1.3393,2.2427,0.3735,1.2863,0.9228,0.0,Diablo,0.6888,1.0671
25,male,D,Virgo,0.2502,0.8294,1.4302,1.9014,0.1931,1.2182,0.736,0.0,Diablo,1.6397,0.99
28,female,E,Libra,0.1908,1.5414,1.5292,0.5795,0.3591,1.2944,0.449,0.0,Overwatch,0.999,0.6266
29,female,A,Scorpio,0.0037,0.458,1.0538,0.5762,0.8604,0.5326,0.4477,0.0,Overwatch,0.5535,1.1059
30,male,E,Pisces,0.6227,1.1093,1.2655,1.8483,1.0392,0.565,0.5413,0.0,Diablo,0.6702,1.4919
25,female,C,Cancer,0.8224,0.7017,1.0026,0.8891,0.6093,1.2199,0.1158,0.0,Hearthstone,0.9651,1.0887
19,female,D,Scorpio,1.9101,1.1636,0.645,0.6294,0.6592,0.9492,0.2808,0.0,Starcraft,1.2333,0.7417
17,female,A,Scorpio,0.5668,1.4822,1.0801,0.6416,0.2653,0.919,0.2768,0.0,Starcraft,1.0604,1.2589
14,female,E,Leo,1.4513,0.9162,0.5649,0.8582,0.3113,0.9839,0.8637,0.0,Overwatch,1.3567,0.6377
27,female,B,Pisces,1.382,0.6441,1.302,0.8437,1.015,1.0015,0.5721,0.0,Overwatch,1.6704,0.4463
19,female,D,Aries,0.5763,1.1102,0.4286,1.9169,0.4111,0.7842,0.1817,0.0,Overwatch,1.4665,0.9882
34,female,A,Leo,1.0313,0.9405,0.7381,0.3679,0.3035,0.9211,0.5993,0.0,The Lost Vikings,1.1659,1.5041
18,male,B,Gemini,1.5447,1.3136,0.9843,2.1167,0.171,0.5823,0.2396,0.0,Diablo,1.2477,0.2494
38,female,D,Cancer,1.3237,0.6476,0.7509,1.3279,0.7141,0.7364,0.6547,0.0,The Lost Vikings,1.3151,0.9688
35,male,C,Virgo,0.7579,1.0275,1.7258,1.7854,1.1333,1.1866,0.6497,0.0,The Lost Vikings,0.865,0.6546
24,female,E,Leo,1.4129,0.9516,1.5351,1.2721,0.1397,1.0276,0.5924,0.0,Overwatch,0.7991,1.1879
29,male,D,Capricorn,1.228,0.9277,1.0357,1.3794,0.6548,1.0721,0.4706,0.0,Diablo,0.8123,1.0765
36,female,C,Libra,1.0427,0.9164,0.4013,1.4469,1.0237,0.6557,0.9542,0.0,The Lost Vikings,1.3061,0.0985
27,male,E,Pisces,1.8869,1.6946,1.446,2.4419,0.7539,1.422,0.5733,0.0,Diablo,1.0994,1.5665
32,female,E,Scorpio,1.6367,0.9528,0.9375,1.0693,0.6891,1.0494,0.6211,0.0,The Lost Vikings,1.1571,0.9231
30,female,A,Cancer,0.9705,1.0445,1.1521,1.0038,0.5366,1.0301,0.6897,0.0,Starcraft,0.52,1.1325
34,male,D,Taurus,1.2169,1.4081,0.383,2.1553,0.4753,0.7976,0.9866,0.0,The Lost Vikings,1.1642,0.8808
26,female,C,Aries,0.9538,0.9291,0.9948,1.0297,0.7047,0.5769,0.1832,0.0,Warcraft,1.4563,0.7934
33,male,E,Aries,1.844,1.654,1.0619,2.1742,0.6832,1.1958,0.5452,0.0,Diablo,1.1768,0.8582
16,male,A,Gemini,1.0188,0.718,1.4719,1.8536,0.5568,1.3704,0.5265,0.0,Diablo,0.9965,1.0508
36,female,E,Virgo,1.9909,1.1293,0.5294,0.3741,0.4993,1.4185,0.4875,0.0,The Lost Vikings,0.4947,0.8565
31,male,D,Leo,1.014,1.6898,1.5684,1.888,0.9174,0.2485,0.5437,0.0,The Lost Vikings,0.051,1.1949
12,female,C,Scorpio,0.0,1.2048,0.6179,0.9564,0.133,0.8452,0.76,0.0,Overwatch,0.3451,1.0225
36,female,E,Aries,0.1907,1.468,0.512,0.9544,0.4091,0.9885,0.328,0.0,The Lost Vikings,0.9083,1.2937
27,male,E,Cancer,0.6683,0.5466,1.004,1.9144,0.7564,0.893,0.8002,0.0,Diablo,1.1002,1.388
17,male,D,Leo,1.3621,1.865,0.7782,2.085,0.1913,1.1261,0.8325,0.0,Starcraft,0.5524,1.2096
34,female,B,Pisces,1.122,1.2736,1.5318,1.0001,0.6295,1.2952,0.8776,0.0,The Lost Vikings,0.7884,1.0205
21,female,C,Cancer,1.1148,0.7741,0.7486,1.0301,0.5249,2.0056,0.7357,0.0,Hearthstone,1.2233,0.5154
27,male,B,Virgo,0.7422,1.2947,0.8133,1.7765,0.4215,1.023,0.2002,0.0,Diablo,0.5011,0.4307
28,female,D,Scorpio,2.0608,1.8545,0.3172,1.3128,0.2768,1.2983,0.1161,0.0,Starcraft,1.1335,1.6496
24,male,A,Aries,1.3117,0.7258,0.9421,1.4263,0.9265,1.2471,0.2232,0.0,Diablo,1.1357,0.3902
25,male,E,Gemini,0.9167,0.4904,1.3101,1.4554,0.2003,1.3978,0.0523,0.0,Diablo,0.6257,1.3591
12,female,B,Capricorn,1.4506,1.2862,1.0574,0.8468,0.5056,1.1882,0.7167,0.0,Overwatch,1.2619,1.4716
12,male,B,Virgo,1.4927,0.9765,0.4833,1.5719,0.3434,1.1914,0.7909,0.0,Diablo,1.0115,0.631
20,male,E,Aquarius,1.0217,1.216,0.8956,1.8625,0.4933,0.2716,0.0692,0.0,Diablo,0.7762,1.4187
36,male,B,Sagittarius,0.6722,0.9757,0.7549,2.1233,1.7227,1.3486,0.1794,0.0,Warcraft,1.3786,0.4087
14,female,E,Scorpio,1.3688,1.5102,1.0446,1.3804,0.4387,1.1572,0.3089,0.0,Overwatch,0.7109,1.201
16,male,B,Gemini,0.8303,0.8925,0.4978,2.3633,0.3611,1.6793,0.2606,0.0,Diablo,1.4632,0.5561
37,male,B,Scorpio,0.9633,1.112,0.8217,3.0593,0.8263,0.7441,0.1457,0.0,Diablo,1.2485,1.0342
13,female,D,Cancer,0.9498,1.4285,0.9634,0.7258,0.4502,1.0153,0.4478,0.0,Starcraft,1.2369,0.7942
11,male,C,Sagittarius,0.6208,0.2859,1.7003,1.9585,0.1952,0.5173,0.2917,0.0,Overwatch,0.9501,1.1727
28,female,B,Aquarius,0.6018,0.7862,1.8052,0.5405,0.5272,1.3724,0.8116,0.0,Overwatch,0.5415,1.3882
31,female,D,Aries,1.5372,0.8218,1.2062,1.1271,0.2389,1.0726,0.0872,0.0,The Lost Vikings,1.7374,1.4198
33,female,B,Cancer,1.6213,0.9498,1.173,0.9652,0.7343,1.2525,0.589,0.0,The Lost Vikings,0.2985,1.5273
26,female,D,Leo,1.2111,1.1228,1.2544,0.882,0.4896,1.1817,0.4856,0.0,Starcraft,0.5748,1.8759
12,female,C,Capricorn,0.6096,1.039,0.556,0.9384,0.0,1.156,0.1574,0.0,Overwatch,0.1536,0.1539
15,female,E,Cancer,1.4006,0.7985,0.656,1.4508,0.4188,1.2028,0.6618,0.0,Overwatch,1.2077,0.4489
31,male,A,Gemini,0.8306,0.8953,0.3142,2.366,0.5967,1.0721,0.6949,0.0,Warcraft,0.7238,1.5244
29,male,B,Virgo,0.9351,0.791,1.1533,2.25,0.5356,0.4535,0.3854,0.0,Diablo,1.2754,1.5019
28,female,C,Cancer,0.7004,0.5867,1.9238,0.9651,0.5574,0.6247,0.0719,0.0,Heroes of the Storm,1.8904,1.1731
30,male,B,Leo,0.8456,1.4444,0.7866,1.7542,0.6347,0.7959,0.1508,0.0,Diablo,1.4714,0.7372
16,female,A,Pisces,0.5095,1.055,0.8279,0.7173,0.2605,0.8999,0.8156,0.0,Overwatch,0.7238,1.0209
11,male,D,Leo,1.2446,0.8375,0.9731,1.9686,0.0471,1.5116,0.0412,0.0,Diablo,0.7538,1.2201
22,female,B,Gemini,1.4084,0.5318,1.2452,0.6464,0.4274,1.2864,0.6381,0.0,Overwatch,1.0002,1.3257
39,female,D,Virgo,0.9822,0.9509,0.4512,0.717,1.7754,0.9939,0.9358,0.0,The Lost Vikings,0.4454,1.2079
14,female,E,Virgo,1.5062,0.8841,0.8554,1.3828,0.1176,1.4192,0.1085,0.0,Overwatch,1.1871,1.1206
31,male,D,Taurus,1.4329,1.3065,0.7584,2.0892,0.6574,1.5269,0.4596,0.0,The Lost Vikings,1.4298,1.9055
18,female,C,Scorpio,0.4227,0.722,0.9205,0.7438,0.4579,0.7996,0.3283,0.0,Overwatch,1.3217,0.7538
34,female,D,Cancer,1.5934,0.6803,1.3197,1.0023,0.6146,1.0602,0.9642,0.0,The Lost Vikings,1.153,0.932
34,male,E,Taurus,1.0923,1.6479,1.2479,2.6636,0.4537,1.5201,0.3782,0.0,Diablo,0.561,0.5515
30,male,A,Pisces,1.2335,1.0397,0.3593,1.6717,0.0,1.2145,0.2816,0.0,Diablo,0.3651,1.2157
31,male,C,Capricorn,0.6639,1.3805,0.7616,2.0381,0.8192,1.119,0.8578,0.0,The Lost Vikings,0.0332,1.4597
20,female,A,Scorpio,0.8092,1.1612,1.5645,0.7786,0.4231,0.5864,0.1968,0.0,Overwatch,0.4082,0.7542
38,female,E,Libra,1.398,0.6323,1.985,0.5769,1.5513,0.7975,0.1289,0.0,The Lost Vikings,0.9903,0.7643
17,male,C,Pisces,1.3995,0.8095,0.9488,2.4321,0.2107,1.2049,0.5169,0.0,Warcraft,0.4572,1.0176
23,female,B,Capricorn,1.9533,0.399,1.0232,1.1336,0.5029,1.4113,0.3871,0.0,Warcraft,0.9787,1.0128
33,female,A,Sagittarius,1.5669,0.7927,1.3992,1.1435,0.7259,1.0453,0.6173,0.0,The Lost Vikings,1.3389,1.7626
34,male,C,Libra,1.7465,1.5978,0.3154,1.5401,1.1865,1.1189,0.6223,0.0,The Lost Vikings,0.7299,1.3855
29,male,E,Pisces,1.1362,0.9823,0.7236,2.1362,1.123,1.1707,0.8875,0.0,Diablo,1.4969,0.7224
30,male,D,Libra,1.4729,1.381,0.4613,2.2985,0.5564,0.9209,0.6345,0.0,Diablo,1.1707,1.126
15,male,D,Pisces,1.2856,1.1452,0.7971,1.4644,0.2881,2.0534,0.7394,0.0,Hearthstone,0.6777,1.0862
10,male,C,Aries,0.7413,1.2557,1.431,1.634,0.1054,1.4708,0.6813,0.0,Overwatch,0.3973,1.3733
17,male,A,Taurus,0.0998,1.1264,1.1155,2.1882,0.2917,1.0403,0.5436,0.0,Overwatch,1.0318,0.5027
15,male,A,Sagittarius,1.4792,0.6283,1.0145,1.7827,0.2995,0.4492,0.1469,0.0,Diablo,1.0844,1.8617
19,male,D,Libra,0.9814,1.5547,1.1128,2.3402,0.3049,0.9439,0.0106,0.0,Starcraft,1.3435,1.1261
28,female,D,Aries,1.2525,0.6177,1.4874,0.7753,0.7064,1.5486,0.6926,0.0,Hearthstone,0.7447,0.4677
11,male,C,Virgo,1.0756,0.9983,1.6156,1.6864,0.1925,0.7556,0.6827,0.0,Diablo,1.0188,1.4265
17,female,A,Sagittarius,1.2601,1.1888,1.7158,1.1271,0.4194,1.1882,0.6094,0.0,Overwatch,1.4941,1.1897
11,male,E,Scorpio,0.9802,0.8652,1.2443,1.5061,0.1442,0.4742,0.7663,0.0,Diablo,1.8906,1.3027
22,male,C,Scorpio,0.5425,0.6107,0.7166,2.1307,0.4323,1.1445,0.803,0.0,Warcraft,0.8016,0.898
18,male,D,Scorpio,1.1344,1.2564,0.2701,1.6072,0.2628,1.2454,0.5881,0.0,Diablo,1.5272,1.179
30,female,D,Taurus,1.6254,1.0724,1.7121,1.6331,0.6804,1.0665,0.2337,0.0,Warcraft,1.4805,1.3137
39,male,C,Capricorn,1.7563,0.8624,0.928,1.9892,0.4583,0.4111,0.4362,0.0,The Lost Vikings,0.6878,0.7525
34,male,D,Gemini,1.5825,0.2012,0.5843,2.7061,0.4087,1.3277,0.8575,0.0,Warcraft,1.5648,0.6307
18,female,C,Virgo,0.7361,1.244,0.754,0.0,0.5421,1.4013,0.8689,0.0,Starcraft,0.7653,0.8508
18,female,E,Virgo,1.9462,0.8397,1.3005,0.6916,0.5313,1.3888,0.2716,0.0,Overwatch,0.9656,0.7108
32,male,B,Capricorn,1.1953,0.5816,0.4765,1.6921,0.2944,0.5362,0.1453,0.0,Diablo,1.1327,1.0594
11,female,C,Aries,1.8955,0.9988,0.9271,0.6177,0.3269,1.6911,0.1193,0.0,Hearthstone,0.0874,0.8833
37,male,C,Sagittarius,1.2906,1.0885,1.8863,2.1501,1.5848,1.1372,0.6243,0.0,The Lost Vikings,1.1496,0.6416
20,male,E,Sagittarius,1.26,1.0166,0.5985,1.481,0.1324,1.5914,0.4586,0.0,Diablo,0.0977,0.8005
27,male,B,Virgo,0.9394,1.0996,1.4593,2.0274,0.7866,1.2198,0.025,0.0,Diablo,1.394,1.1746
24,female,A,Scorpio,1.4536,0.9266,0.7017,0.9756,0.285,1.0794,0.6362,0.0,Hearthstone,0.6648,0.3289
34,female,D,Sagittarius,0.8886,1.153,1.3935,0.7672,0.5096,0.8143,0.2112,0.0,The Lost Vikings,0.179,1.7821
